step: 0, e_loss: 0.3144
step: 1000, e_loss: 0.0233
step: 2000, e_loss: 0.0104
step: 3000, e_loss: 0.0071
step: 4000, e_loss: 0.0051
step: 5000, e_loss: 0.0046
step: 6000, e_loss: 0.004
step: 7000, e_loss: 0.0034
step: 8000, e_loss: 0.0051
step: 9000, e_loss: 0.0028
step: 10000, e_loss: 0.0035
step: 11000, e_loss: 0.0052
step: 12000, e_loss: 0.0027
step: 13000, e_loss: 0.0025
step: 14000, e_loss: 0.0035
step: 15000, e_loss: 0.0024
step: 16000, e_loss: 0.0027
step: 17000, e_loss: 0.0024
step: 18000, e_loss: 0.0025
step: 19000, e_loss: 0.0026
step: 20000, e_loss: 0.0025
step: 21000, e_loss: 0.0033
step: 22000, e_loss: 0.0029
step: 23000, e_loss: 0.0026
step: 24000, e_loss: 0.0025
step: 25000, e_loss: 0.0028
step: 26000, e_loss: 0.0025
step: 27000, e_loss: 0.002
step: 28000, e_loss: 0.0027
step: 29000, e_loss: 0.0024
step: 30000, e_loss: 0.0024
step: 31000, e_loss: 0.0026
step: 32000, e_loss: 0.0031
step: 33000, e_loss: 0.0024
step: 34000, e_loss: 0.0027
step: 35000, e_loss: 0.0023
step: 36000, e_loss: 0.0027
step: 37000, e_loss: 0.0026
step: 38000, e_loss: 0.0021
step: 39000, e_loss: 0.0031
step: 40000, e_loss: 0.0022
step: 41000, e_loss: 0.0026
step: 42000, e_loss: 0.0023
step: 43000, e_loss: 0.0024
step: 44000, e_loss: 0.0024
step: 45000, e_loss: 0.0025
step: 46000, e_loss: 0.0021
step: 47000, e_loss: 0.0025
step: 48000, e_loss: 0.0023
step: 49000, e_loss: 0.0021
