step: 0, d_loss: 1.9505, g_loss_u: 0.926, g_loss_s: 0.0189, g_loss_v: 0.2466, e_loss_t0: 0.0185
step: 1000, d_loss: 1.6866, g_loss_u: 0.8868, g_loss_s: 0.0142, g_loss_v: 0.0272, e_loss_t0: 0.0031
step: 2000, d_loss: 1.3741, g_loss_u: 1.108, g_loss_s: 0.0077, g_loss_v: 0.0255, e_loss_t0: 0.0023
step: 3000, d_loss: 1.6198, g_loss_u: 1.259, g_loss_s: 0.009, g_loss_v: 0.0155, e_loss_t0: 0.0024
step: 4000, d_loss: 1.8145, g_loss_u: 1.1653, g_loss_s: 0.0083, g_loss_v: 0.03, e_loss_t0: 0.0021
step: 5000, d_loss: 1.7754, g_loss_u: 1.1438, g_loss_s: 0.0083, g_loss_v: 0.0598, e_loss_t0: 0.002
step: 6000, d_loss: 1.7488, g_loss_u: 1.2399, g_loss_s: 0.0117, g_loss_v: 0.0993, e_loss_t0: 0.0021
step: 7000, d_loss: 1.4924, g_loss_u: 1.1581, g_loss_s: 0.0088, g_loss_v: 0.0372, e_loss_t0: 0.002
step: 8000, d_loss: 1.5167, g_loss_u: 1.5111, g_loss_s: 0.0054, g_loss_v: 0.0276, e_loss_t0: 0.002
step: 9000, d_loss: 1.5114, g_loss_u: 1.2046, g_loss_s: 0.006, g_loss_v: 0.0395, e_loss_t0: 0.0022
step: 10000, d_loss: 1.5732, g_loss_u: 1.2511, g_loss_s: 0.0051, g_loss_v: 0.0206, e_loss_t0: 0.002
step: 11000, d_loss: 1.7638, g_loss_u: 1.2233, g_loss_s: 0.0114, g_loss_v: 0.0724, e_loss_t0: 0.0023
step: 12000, d_loss: 1.653, g_loss_u: 1.3733, g_loss_s: 0.0055, g_loss_v: 0.0066, e_loss_t0: 0.0021
step: 13000, d_loss: 1.7034, g_loss_u: 1.1783, g_loss_s: 0.0176, g_loss_v: 0.0284, e_loss_t0: 0.0027
step: 14000, d_loss: 1.7414, g_loss_u: 1.2671, g_loss_s: 0.0042, g_loss_v: 0.0178, e_loss_t0: 0.002
step: 15000, d_loss: 1.6967, g_loss_u: 1.2936, g_loss_s: 0.0073, g_loss_v: 0.0984, e_loss_t0: 0.0023
step: 16000, d_loss: 1.7459, g_loss_u: 1.2406, g_loss_s: 0.0062, g_loss_v: 0.0738, e_loss_t0: 0.0023
step: 17000, d_loss: 1.7406, g_loss_u: 1.399, g_loss_s: 0.0071, g_loss_v: 0.0283, e_loss_t0: 0.0018
step: 18000, d_loss: 1.6394, g_loss_u: 1.2103, g_loss_s: 0.0082, g_loss_v: 0.0452, e_loss_t0: 0.0017
step: 19000, d_loss: 1.6024, g_loss_u: 1.4031, g_loss_s: 0.0074, g_loss_v: 0.0236, e_loss_t0: 0.0017
step: 20000, d_loss: 1.6243, g_loss_u: 1.3834, g_loss_s: 0.0057, g_loss_v: 0.0302, e_loss_t0: 0.0035
step: 21000, d_loss: 1.5581, g_loss_u: 1.3292, g_loss_s: 0.0059, g_loss_v: 0.0188, e_loss_t0: 0.0016
step: 22000, d_loss: 1.8288, g_loss_u: 1.1611, g_loss_s: 0.0094, g_loss_v: 0.0485, e_loss_t0: 0.0016
step: 23000, d_loss: 1.7013, g_loss_u: 1.3615, g_loss_s: 0.0073, g_loss_v: 0.1181, e_loss_t0: 0.0016
step: 24000, d_loss: 1.6229, g_loss_u: 1.2427, g_loss_s: 0.007, g_loss_v: 0.0504, e_loss_t0: 0.0015
step: 25000, d_loss: 1.686, g_loss_u: 1.282, g_loss_s: 0.0048, g_loss_v: 0.0964, e_loss_t0: 0.0014
step: 26000, d_loss: 1.506, g_loss_u: 1.3183, g_loss_s: 0.0043, g_loss_v: 0.0282, e_loss_t0: 0.0013
step: 27000, d_loss: 1.5071, g_loss_u: 1.4257, g_loss_s: 0.0049, g_loss_v: 0.0351, e_loss_t0: 0.0013
step: 28000, d_loss: 1.6647, g_loss_u: 1.5022, g_loss_s: 0.0062, g_loss_v: 0.0762, e_loss_t0: 0.0012
step: 29000, d_loss: 1.5876, g_loss_u: 1.6115, g_loss_s: 0.0052, g_loss_v: 0.0082, e_loss_t0: 0.0012
