step: 0, e_loss: 0.2737
step: 1000, e_loss: 0.085
step: 2000, e_loss: 0.0446
step: 3000, e_loss: 0.0226
step: 4000, e_loss: 0.0182
step: 5000, e_loss: 0.0208
step: 6000, e_loss: 0.0154
step: 7000, e_loss: 0.0152
step: 8000, e_loss: 0.0142
step: 9000, e_loss: 0.0137
step: 10000, e_loss: 0.0129
step: 11000, e_loss: 0.0129
step: 12000, e_loss: 0.0126
step: 13000, e_loss: 0.0126
step: 14000, e_loss: 0.0116
step: 15000, e_loss: 0.0106
step: 16000, e_loss: 0.011
step: 17000, e_loss: 0.0101
step: 18000, e_loss: 0.0095
step: 19000, e_loss: 0.0093
step: 20000, e_loss: 0.009
step: 21000, e_loss: 0.0086
step: 22000, e_loss: 0.0084
step: 23000, e_loss: 0.0085
step: 24000, e_loss: 0.0088
step: 25000, e_loss: 0.0078
step: 26000, e_loss: 0.0073
step: 27000, e_loss: 0.007
step: 28000, e_loss: 0.006
step: 29000, e_loss: 0.006
step: 30000, e_loss: 0.006
step: 31000, e_loss: 0.006
step: 32000, e_loss: 0.0044
step: 33000, e_loss: 0.0048
step: 34000, e_loss: 0.0041
step: 35000, e_loss: 0.0044
step: 36000, e_loss: 0.0044
step: 37000, e_loss: 0.0044
step: 38000, e_loss: 0.0039
step: 39000, e_loss: 0.0034
step: 40000, e_loss: 0.0042
step: 41000, e_loss: 0.0035
step: 42000, e_loss: 0.0036
step: 43000, e_loss: 0.0032
step: 44000, e_loss: 0.0032
step: 45000, e_loss: 0.0033
step: 46000, e_loss: 0.0033
step: 47000, e_loss: 0.0034
step: 48000, e_loss: 0.0032
step: 49000, e_loss: 0.003
