step: 0, s_loss: 0.1699
step: 1000, s_loss: 0.0133
step: 2000, s_loss: 0.008
step: 3000, s_loss: 0.0059
step: 4000, s_loss: 0.0049
step: 5000, s_loss: 0.004
step: 6000, s_loss: 0.0034
step: 7000, s_loss: 0.003
step: 8000, s_loss: 0.0028
step: 9000, s_loss: 0.0026
step: 10000, s_loss: 0.0024
step: 11000, s_loss: 0.0023
step: 12000, s_loss: 0.0023
step: 13000, s_loss: 0.0021
step: 14000, s_loss: 0.002
step: 15000, s_loss: 0.002
step: 16000, s_loss: 0.0019
step: 17000, s_loss: 0.0019
step: 18000, s_loss: 0.0019
step: 19000, s_loss: 0.0018
step: 20000, s_loss: 0.0018
step: 21000, s_loss: 0.0017
step: 22000, s_loss: 0.0016
step: 23000, s_loss: 0.0016
step: 24000, s_loss: 0.0016
step: 25000, s_loss: 0.0017
step: 26000, s_loss: 0.0015
step: 27000, s_loss: 0.0015
step: 28000, s_loss: 0.0015
step: 29000, s_loss: 0.0015
step: 30000, s_loss: 0.0015
step: 31000, s_loss: 0.0015
step: 32000, s_loss: 0.0014
step: 33000, s_loss: 0.0014
step: 34000, s_loss: 0.0014
step: 35000, s_loss: 0.0014
step: 36000, s_loss: 0.0014
step: 37000, s_loss: 0.0016
step: 38000, s_loss: 0.0013
step: 39000, s_loss: 0.0014
step: 40000, s_loss: 0.0014
step: 41000, s_loss: 0.0013
step: 42000, s_loss: 0.0016
step: 43000, s_loss: 0.0013
step: 44000, s_loss: 0.0013
step: 45000, s_loss: 0.0014
step: 46000, s_loss: 0.0013
step: 47000, s_loss: 0.0013
step: 48000, s_loss: 0.0012
step: 49000, s_loss: 0.0012
