step: 0, d_loss: 2.1371, g_loss_u: 0.6392, g_loss_s: 0.0169, g_loss_v: 0.1583, e_loss_t0: 0.0578
step: 1000, d_loss: 1.6898, g_loss_u: 1.0944, g_loss_s: 0.0061, g_loss_v: 0.0312, e_loss_t0: 0.0022
step: 2000, d_loss: 1.6074, g_loss_u: 1.1486, g_loss_s: 0.0083, g_loss_v: 0.0216, e_loss_t0: 0.0025
step: 3000, d_loss: 1.8121, g_loss_u: 1.1705, g_loss_s: 0.0052, g_loss_v: 0.022, e_loss_t0: 0.002
step: 4000, d_loss: 1.5262, g_loss_u: 1.203, g_loss_s: 0.0057, g_loss_v: 0.0171, e_loss_t0: 0.0021
step: 5000, d_loss: 1.6559, g_loss_u: 1.3541, g_loss_s: 0.0062, g_loss_v: 0.0153, e_loss_t0: 0.0024
step: 6000, d_loss: 1.7312, g_loss_u: 1.2838, g_loss_s: 0.007, g_loss_v: 0.0164, e_loss_t0: 0.0018
step: 7000, d_loss: 1.7504, g_loss_u: 1.3422, g_loss_s: 0.005, g_loss_v: 0.0193, e_loss_t0: 0.0024
step: 8000, d_loss: 1.7061, g_loss_u: 1.1093, g_loss_s: 0.0043, g_loss_v: 0.0171, e_loss_t0: 0.0018
step: 9000, d_loss: 1.7845, g_loss_u: 1.2726, g_loss_s: 0.0047, g_loss_v: 0.0255, e_loss_t0: 0.0019
step: 10000, d_loss: 1.7373, g_loss_u: 1.2062, g_loss_s: 0.0044, g_loss_v: 0.0205, e_loss_t0: 0.0022
step: 11000, d_loss: 1.7466, g_loss_u: 1.1711, g_loss_s: 0.0043, g_loss_v: 0.0129, e_loss_t0: 0.0015
step: 12000, d_loss: 1.8086, g_loss_u: 1.2986, g_loss_s: 0.0042, g_loss_v: 0.0162, e_loss_t0: 0.0022
step: 13000, d_loss: 1.8399, g_loss_u: 1.1637, g_loss_s: 0.0037, g_loss_v: 0.0201, e_loss_t0: 0.0017
step: 14000, d_loss: 1.759, g_loss_u: 1.2506, g_loss_s: 0.0045, g_loss_v: 0.0217, e_loss_t0: 0.0022
step: 15000, d_loss: 1.858, g_loss_u: 1.0965, g_loss_s: 0.0036, g_loss_v: 0.0182, e_loss_t0: 0.0021
step: 16000, d_loss: 1.8085, g_loss_u: 1.2166, g_loss_s: 0.0047, g_loss_v: 0.0187, e_loss_t0: 0.0016
step: 17000, d_loss: 1.7647, g_loss_u: 1.2473, g_loss_s: 0.0054, g_loss_v: 0.0117, e_loss_t0: 0.0017
step: 18000, d_loss: 1.7753, g_loss_u: 1.1368, g_loss_s: 0.0047, g_loss_v: 0.0189, e_loss_t0: 0.0017
step: 19000, d_loss: 1.8166, g_loss_u: 1.2621, g_loss_s: 0.0051, g_loss_v: 0.0182, e_loss_t0: 0.0017
step: 20000, d_loss: 1.8122, g_loss_u: 1.1353, g_loss_s: 0.0044, g_loss_v: 0.019, e_loss_t0: 0.0019
step: 21000, d_loss: 1.7222, g_loss_u: 1.2222, g_loss_s: 0.0042, g_loss_v: 0.018, e_loss_t0: 0.0019
step: 22000, d_loss: 1.8206, g_loss_u: 1.1088, g_loss_s: 0.0034, g_loss_v: 0.0173, e_loss_t0: 0.0016
step: 23000, d_loss: 1.6955, g_loss_u: 1.1067, g_loss_s: 0.0038, g_loss_v: 0.0297, e_loss_t0: 0.0014
step: 24000, d_loss: 1.7779, g_loss_u: 1.1491, g_loss_s: 0.0051, g_loss_v: 0.0247, e_loss_t0: 0.0018
step: 25000, d_loss: 1.699, g_loss_u: 1.3083, g_loss_s: 0.0039, g_loss_v: 0.015, e_loss_t0: 0.0014
step: 26000, d_loss: 1.8275, g_loss_u: 1.3071, g_loss_s: 0.0037, g_loss_v: 0.0247, e_loss_t0: 0.0029
step: 27000, d_loss: 1.7794, g_loss_u: 1.1455, g_loss_s: 0.0042, g_loss_v: 0.0184, e_loss_t0: 0.0019
step: 28000, d_loss: 1.8258, g_loss_u: 1.0786, g_loss_s: 0.0032, g_loss_v: 0.0104, e_loss_t0: 0.0015
step: 29000, d_loss: 1.7723, g_loss_u: 1.2949, g_loss_s: 0.0058, g_loss_v: 0.0183, e_loss_t0: 0.0019
step: 30000, d_loss: 1.945, g_loss_u: 1.2542, g_loss_s: 0.0035, g_loss_v: 0.0187, e_loss_t0: 0.0015
step: 31000, d_loss: 1.8334, g_loss_u: 1.0796, g_loss_s: 0.0036, g_loss_v: 0.0138, e_loss_t0: 0.0028
step: 32000, d_loss: 1.8901, g_loss_u: 1.4075, g_loss_s: 0.0047, g_loss_v: 0.013, e_loss_t0: 0.0019
step: 33000, d_loss: 1.8822, g_loss_u: 1.1514, g_loss_s: 0.0045, g_loss_v: 0.015, e_loss_t0: 0.0013
step: 34000, d_loss: 1.7721, g_loss_u: 1.2524, g_loss_s: 0.0041, g_loss_v: 0.023, e_loss_t0: 0.0014
step: 35000, d_loss: 1.7514, g_loss_u: 1.0851, g_loss_s: 0.0034, g_loss_v: 0.0124, e_loss_t0: 0.0026
step: 36000, d_loss: 1.8816, g_loss_u: 1.1979, g_loss_s: 0.0034, g_loss_v: 0.0179, e_loss_t0: 0.0014
step: 37000, d_loss: 1.6865, g_loss_u: 1.1344, g_loss_s: 0.0044, g_loss_v: 0.013, e_loss_t0: 0.0016
step: 38000, d_loss: 1.8322, g_loss_u: 1.0687, g_loss_s: 0.0031, g_loss_v: 0.0236, e_loss_t0: 0.0014
step: 39000, d_loss: 1.7571, g_loss_u: 1.3185, g_loss_s: 0.005, g_loss_v: 0.0274, e_loss_t0: 0.0022
step: 40000, d_loss: 1.87, g_loss_u: 1.143, g_loss_s: 0.0031, g_loss_v: 0.0201, e_loss_t0: 0.0013
step: 41000, d_loss: 2.0136, g_loss_u: 1.1586, g_loss_s: 0.0036, g_loss_v: 0.0125, e_loss_t0: 0.0017
step: 42000, d_loss: 1.8858, g_loss_u: 1.023, g_loss_s: 0.0036, g_loss_v: 0.0104, e_loss_t0: 0.0013
step: 43000, d_loss: 1.8609, g_loss_u: 1.2093, g_loss_s: 0.0049, g_loss_v: 0.0096, e_loss_t0: 0.0016
step: 44000, d_loss: 1.9535, g_loss_u: 1.0978, g_loss_s: 0.0034, g_loss_v: 0.0182, e_loss_t0: 0.0017
step: 45000, d_loss: 1.8612, g_loss_u: 1.1938, g_loss_s: 0.0033, g_loss_v: 0.0142, e_loss_t0: 0.0012
step: 46000, d_loss: 1.8079, g_loss_u: 1.0866, g_loss_s: 0.0032, g_loss_v: 0.0192, e_loss_t0: 0.0013
step: 47000, d_loss: 1.6465, g_loss_u: 1.2306, g_loss_s: 0.0036, g_loss_v: 0.0106, e_loss_t0: 0.0015
step: 48000, d_loss: 1.809, g_loss_u: 1.1713, g_loss_s: 0.0032, g_loss_v: 0.0226, e_loss_t0: 0.0015
step: 49000, d_loss: 1.8091, g_loss_u: 1.1835, g_loss_s: 0.0028, g_loss_v: 0.0147, e_loss_t0: 0.0014
